"id","date","prcp","snwd","tavg","tmax","tmin","tobs","wesd","dapr","mdpr","snow","wesf","elevationMeter","latitude","name","datacoverage","GHCND_id","longitude","mountain"
"USS0021D08S",2016-02-21,76,2591,-11,20,-30,-27,9627,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-22,25,2565,-23,12,-56,-26,9703,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-23,0,2540,0,34,-35,17,9703,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-24,0,2489,41,84,13,33,9677,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-25,0,2438,62,109,22,65,9677,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-26,102,2388,54,96,21,24,9703,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-27,229,2388,13,29,2,6,9754,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-28,102,2438,-1,30,-29,-29,9830,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-02-29,152,2515,-10,11,-37,10,10008,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
"USS0021D08S",2016-03-01,76,2438,13,41,-24,-18,9982,NA,NA,NA,NA,"1636.8","45.32","MOUNT HOOD TEST SITE, OR US","0.9979","GHCND:USS0021D08S","-121.72","Mt Hood, Oregon, USA"
